"Timestamp","servingcell_RSSI","RSSI","RSRP","RSRQ"
"2024-08-29 14:46:22","-57","-58","-87","-13"
"2024-08-29 14:46:23","-57","-55","-87","-13"
"2024-08-29 14:46:24","-57","-59","-91","-14"
"2024-08-29 14:46:25","-57","-59","-90","-14"
"2024-08-29 14:46:27","-61","-58","-90","-14"
"2024-08-29 14:46:28","-61","-60","-90","-14"
"2024-08-29 14:46:29","-61","-55","-89","-14"
"2024-08-29 14:46:30","-55","-55","-88","-16"
"2024-08-29 14:46:31","-55","-58","-88","-13"
"2024-08-29 14:46:32","-55","-59","-88","-12"
"2024-08-29 14:46:33","-55","-60","-90","-13"
"2024-08-29 14:46:34","-55","-55","-91","-14"
"2024-08-29 14:46:35","-55","-59","-88","-13"
"2024-08-29 14:46:36","-59","-55","-88","-15"
"2024-08-29 14:46:37","N/A","-61","-92","-15"
"2024-08-29 14:46:39","-59","-60","-91","-13"
"2024-08-29 14:46:40","-59","-59","-91","-15"
"2024-08-29 14:46:41","-59","-62","-92","-13"
"2024-08-29 14:46:42","N/A","-62","-91","-13"
"2024-08-29 14:46:44","-63","-60","-92","-13"
"2024-08-29 14:46:45","-63","-65","-93","-13"
"2024-08-29 14:46:46","-63","-59","-92","-14"
"2024-08-29 14:46:47","-61","-63","-93","-14"
"2024-08-29 14:46:49","-61","-63","-94","-15"
"2024-08-29 14:46:50","-61","-60","-91","-14"
"2024-08-29 14:46:51","-61","-52","-84","-13"
"2024-08-29 14:46:52","-61","-53","-83","-14"
"2024-08-29 14:46:53","-61","-54","-83","-12"
"2024-08-29 14:46:54","-53","-52","-83","-13"
"2024-08-29 14:46:55","-53","-54","-83","-13"
"2024-08-29 14:46:56","-53","-53","-82","-12"
"2024-08-29 14:46:57","-55","-54","-83","-14"
"2024-08-29 14:46:58","-55","-54","-82","-12"
"2024-08-29 14:46:59","-55","-57","-84","-12"
"2024-08-29 14:47:00","-55","-58","-89","-14"
"2024-08-29 14:47:01","-55","-56","-89","-14"
"2024-08-29 14:47:02","-55","-56","-89","-14"
"2024-08-29 14:47:03","-57","-58","-89","-14"
"2024-08-29 14:47:04","-57","-57","-89","-14"
"2024-08-29 14:47:05","N/A","-56","-89","-14"
"2024-08-29 14:47:08","-59","-60","-89","-13"
"2024-08-29 14:47:09","-59","-58","-89","-14"
"2024-08-29 14:47:10","-59","-59","-89","-13"
"2024-08-29 14:47:11","-59","-59","-89","-14"
"2024-08-29 14:47:12","-57","-60","-89","-13"
"2024-08-29 14:47:13","-57","-55","-86","-13"
"2024-08-29 14:47:14","-57","-51","-83","-12"
"2024-08-29 14:47:15","-53","-51","-83","-12"
"2024-08-29 14:47:16","-53","-53","-83","-12"
"2024-08-29 14:47:17","-53","-55","-83","-11"
"2024-08-29 14:47:18","-55","-53","-83","-13"
"2024-08-29 14:47:19","-55","-55","-83","-11"
"2024-08-29 14:47:20","-55","-54","-83","-12"
"2024-08-29 14:47:21","-55","-52","-83","-12"
"2024-08-29 14:47:22","-55","-53","-83","-13"
"2024-08-29 14:47:24","-53","-53","-83","-12"
"2024-08-29 14:47:25","-53","-53","-83","-13"
"2024-08-29 14:47:26","-53","-56","-83","-12"
"2024-08-29 14:47:27","-57","-52","-83","-12"
"2024-08-29 14:47:28","-57","-51","-83","-14"
"2024-08-29 14:47:29","N/A","-51","-83","-13"
"2024-08-29 14:47:31","-53","-56","-83","-12"
"2024-08-29 14:47:32","-53","-52","-83","-13"
"2024-08-29 14:47:33","-51","-51","-83","-14"
"2024-08-29 14:47:34","-51","-51","-83","-14"
"2024-08-29 14:47:35","-51","-51","-83","-14"
"2024-08-29 14:47:36","-51","-51","-83","-12"
"2024-08-29 14:47:38","-51","-52","-83","-14"
"2024-08-29 14:47:39","-51","-53","-83","-13"
"2024-08-29 14:47:40","-53","-51","-83","-11"
